Unnamed: 0,URL,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,Latitude,Longitude
35,"https://en.wikipedia.org/wiki/Marcelo_(footballer,_born_1988)",176676,Marcelo,30,https://cdn.sofifa.org/players/4/19/176676.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,88,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€60M,€355K,2279,Left,4,3,4,High/ Medium,Lean,Yes,ST,11,2-Sep-13,,2022,6'1,181lbs,86+3,86+3,86+3,86+3,86+3,86+3,86+3,86+3,85+3,85+3,85+3,85+3,80+3,80+3,80+3,85+3,73+3,70+3,70+3,70+3,73+3,71+3,67+3,67+3,67+3,71+3,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6,€123M,-14.235004,-51.925282
36,https://en.wikipedia.org/wiki/Gareth_Bale,173731,G. Bale,28,https://cdn.sofifa.org/players/4/19/173731.png,Wales,https://cdn.sofifa.org/flags/50.png,88,91,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€50M,€210K,1895,Right,3,3,2,Medium/ High,Lean,Yes,RCB,4,1-Jul-11,,2022,6'3,179lbs,62+3,62+3,62+3,61+3,63+3,63+3,63+3,61+3,64+3,64+3,64+3,64+3,69+3,69+3,69+3,64+3,75+3,79+3,79+3,79+3,75+3,78+3,83+3,83+3,83+3,78+3,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14,€106.3M,,
62,https://en.wikipedia.org/wiki/Rapha%C3%ABl_Varane,201535,R. Varane,25,https://cdn.sofifa.org/players/4/19/201535.png,France,https://cdn.sofifa.org/flags/18.png,86,92,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€54M,€215K,2050,Left,3,3,4,High/ Medium,Normal,Yes,RW,10,1-Jul-15,,2023,6'0,168lbs,79+3,79+3,79+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,79+3,79+3,79+3,83+3,66+3,63+3,63+3,63+3,66+3,62+3,51+3,51+3,51+3,62+3,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10,€121.5M,,
79,https://en.wikipedia.org/wiki/Marco_Asensio,220834,Marco Asensio,22,https://cdn.sofifa.org/players/4/19/220834.png,Spain,https://cdn.sofifa.org/flags/45.png,85,85,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€37M,€240K,2000,Right,4,4,4,Medium/ Low,Normal,Yes,ST,9,9-Jul-09,,2021,6'1,179lbs,81+3,81+3,81+3,81+3,82+3,82+3,82+3,81+3,81+3,81+3,81+3,80+3,73+3,73+3,73+3,80+3,57+3,56+3,56+3,56+3,57+3,53+3,49+3,49+3,49+3,53+3,75,81,80,83,82,83,79,73,62,86,76,76,76,83,66,81,73,75,80,75,65,22,86,85,82,79,47,15,12,13,11,5,5,7,€75.9M,,
105,https://en.wikipedia.org/wiki/Karim_Benzema,165153,K. Benzema,30,https://cdn.sofifa.org/players/4/19/165153.png,France,https://cdn.sofifa.org/flags/18.png,85,87,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€31.5M,€185K,2040,Right,3,3,3,High/ High,Stocky,Yes,RB,2,5-Jul-13,,2022,5'8,161lbs,65+3,65+3,65+3,71+3,68+3,68+3,68+3,71+3,70+3,70+3,70+3,74+3,73+3,73+3,73+3,74+3,82+3,80+3,80+3,80+3,82+3,82+3,80+3,80+3,80+3,82+3,83,41,70,81,34,76,72,47,71,83,79,84,81,82,79,64,76,84,74,36,81,83,61,57,45,77,83,83,85,13,13,15,9,15,€66.9M,,
123,https://en.wikipedia.org/wiki/Dani_Carvajal,204963,Carvajal,26,https://cdn.sofifa.org/players/4/19/204963.png,Spain,https://cdn.sofifa.org/flags/45.png,84,83,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€27M,€205K,2048,Right,2,4,4,High/ High,Normal,Yes,RW,17,2-Jul-15,,2021,5'8,154lbs,75+2,75+2,75+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,82+2,78+2,78+2,78+2,82+2,69+2,65+2,65+2,65+2,69+2,65+2,55+2,55+2,55+2,65+2,86,73,52,83,54,82,82,75,75,83,84,79,79,85,84,82,68,90,57,80,65,44,81,83,56,75,42,50,44,9,16,9,9,7,€55.4M,,
172,https://en.wikipedia.org/wiki/Lucas_V%C3%A1zquez,208618,Lucas Vázquez,27,https://cdn.sofifa.org/players/4/19/208618.png,Spain,https://cdn.sofifa.org/flags/45.png,83,85,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€24.5M,€180K,1855,Right,2,4,2,Medium/ High,Normal,Yes,CB,12,1-Aug-10,,2021,5'11,168lbs,58+2,58+2,58+2,61+2,59+2,59+2,59+2,61+2,60+2,60+2,60+2,64+2,66+2,66+2,66+2,64+2,77+2,77+2,77+2,77+2,77+2,79+2,80+2,80+2,80+2,79+2,70,32,82,80,38,55,55,37,61,78,70,79,60,79,68,54,81,78,79,28,78,81,37,53,45,73,75,86,85,12,7,10,15,7,€52.1M,,
188,"https://en.wikipedia.org/wiki/Nacho_(footballer,_born_1990)",200724,Nacho Fernández,28,https://cdn.sofifa.org/players/4/19/200724.png,Spain,https://cdn.sofifa.org/flags/45.png,83,88,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€25M,€120K,2059,Right,1,3,4,Medium/ Medium,Normal,Yes,LCM,21,14-Jul-17,,2023,5'10,154lbs,70+2,70+2,70+2,78+2,77+2,77+2,77+2,78+2,80+2,80+2,80+2,78+2,80+2,80+2,80+2,78+2,75+2,76+2,76+2,76+2,75+2,73+2,68+2,68+2,68+2,73+2,74,68,41,83,62,85,73,63,80,85,73,67,82,80,79,64,52,75,62,71,76,76,76,83,55,80,62,75,74,12,15,16,7,13,€56.3M,,
328,https://en.wikipedia.org/wiki/Dani_Ceballos,222509,Dani Ceballos,21,https://cdn.sofifa.org/players/4/19/222509.png,Spain,https://cdn.sofifa.org/flags/45.png,81,88,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€18.5M,€115K,1991,Right,1,3,3,High/ Medium,Lean,Yes,RB,19,5-Jul-18,,2024,5'9,146lbs,65+2,65+2,65+2,71+2,68+2,68+2,68+2,71+2,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,78+2,75+2,75+2,75+2,78+2,78+2,75+2,75+2,75+2,78+2,81,45,73,77,48,69,69,30,70,77,80,82,78,77,79,58,71,80,63,59,63,75,68,63,62,69,83,79,80,11,12,10,5,14,€41.6M,,
417,https://en.wikipedia.org/wiki/%C3%81lvaro_Odriozola,234035,Odriozola,22,https://cdn.sofifa.org/players/4/19/234035.png,Spain,https://cdn.sofifa.org/flags/45.png,80,85,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€20M,€140K,2041,Right,1,4,3,High/ Medium,Normal,No,ST,7,29-Aug-18,,2023,5'11,168lbs,79+2,79+2,79+2,74+2,76+2,76+2,76+2,74+2,73+2,73+2,73+2,72+2,67+2,67+2,67+2,72+2,59+2,59+2,59+2,59+2,59+2,58+2,58+2,58+2,58+2,58+2,50,81,82,69,70,75,76,76,51,72,84,85,79,82,72,85,92,81,79,82,86,45,79,63,75,68,41,40,34,12,14,6,8,15,€42.5M,,
