Unnamed: 0,URL,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,Latitude,Longitude
11163,https://en.wikipedia.org/wiki/Sergio_L%C3%B3pez,245287,Sergio López,19,https://cdn.sofifa.org/players/4/19/245287.png,Spain,https://cdn.sofifa.org/flags/45.png,64,79,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€825K,€9K,1644,Left,1,3,2,High/ Medium,Normal,No,LB,37,1-Jul-18,,2019,5'7,139lbs,53+2,53+2,53+2,60+2,57+2,57+2,57+2,60+2,57+2,57+2,57+2,61+2,57+2,57+2,57+2,61+2,63+2,58+2,58+2,58+2,63+2,62+2,57+2,57+2,57+2,62+2,65,42,44,57,39,62,55,36,49,65,79,79,68,62,89,47,60,66,44,45,63,62,49,54,39,60,60,58,59,9,6,12,9,11,€2.2M,,
11327,https://en.wikipedia.org/wiki/Francisco_Garc%C3%ADa_Solsona,246606,Fran García,18,https://cdn.sofifa.org/players/4/19/246606.png,Spain,https://cdn.sofifa.org/flags/45.png,64,76,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€700K,€9K,1568,Right,1,3,2,Medium/ Medium,Normal,No,CB,33,1-Jul-17,,2021,5'11,170lbs,51+2,51+2,51+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,54+2,54+2,54+2,54+2,54+2,60+2,60+2,60+2,60+2,60+2,61+2,63+2,63+2,63+2,61+2,44,32,68,62,29,56,44,39,53,64,61,63,61,59,64,47,59,66,62,45,58,55,43,37,42,47,70,65,67,11,12,13,12,5,€1.6M,,
11877,https://en.wikipedia.org/wiki/Manu_Hernan,243155,Manu Hernando,19,https://cdn.sofifa.org/players/4/19/243155.png,Spain,https://cdn.sofifa.org/flags/45.png,64,77,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€800K,€12K,1448,Right,1,3,2,Medium/ Medium,Normal,No,ST,38,1-Jul-17,,2022,5'10,154lbs,61+2,61+2,61+2,57+2,59+2,59+2,59+2,57+2,57+2,57+2,57+2,55+2,48+2,48+2,48+2,55+2,39+2,38+2,38+2,38+2,39+2,38+2,36+2,36+2,36+2,38+2,32,67,58,54,54,60,41,45,35,66,66,65,70,56,65,59,62,51,70,52,28,12,61,42,57,44,41,12,15,7,10,13,8,14,€2.1M,,
12504,https://en.wikipedia.org/wiki/Daniel_G%C3%B3mez_Alc%C3%B3n,243315,Dani Gómez,19,https://cdn.sofifa.org/players/4/19/243315.png,Spain,https://cdn.sofifa.org/flags/45.png,63,88,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€57M,€245K,1965,Right,4,4,3,High/ Medium,Normal,Yes,LS,9,,Juventus,30-Jun-19,6'1,196lbs,85+3,85+3,85+3,81+3,83+3,83+3,83+3,81+3,80+3,80+3,80+3,78+3,71+3,71+3,71+3,78+3,55+3,53+3,53+3,53+3,55+3,51+3,48+3,48+3,48+3,51+3,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10,,,
38,https://en.wikipedia.org/wiki/Gonzalo_Higua%C3%ADn,167664,G. Higuaín,30,https://cdn.sofifa.org/players/4/19/167664.png,Argentina,https://cdn.sofifa.org/flags/52.png,88,86,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€33M,€115K,1959,Left,3,3,4,High/ Medium,Lean,No,RW,11,17-Jan-15,,2022,5'9,154lbs,74+3,74+3,74+3,82+3,81+3,81+3,81+3,82+3,83+3,83+3,83+3,82+3,76+3,76+3,76+3,82+3,60+3,56+3,56+3,56+3,60+3,55+3,42+3,42+3,42+3,55+3,84,70,50,86,72,88,87,80,75,89,83,77,86,78,84,78,50,77,56,87,23,20,76,84,72,76,50,23,18,15,15,9,8,9,€58.6M,-38.416096,-63.616673
183,https://en.wikipedia.org/wiki/Suso_(footballer),202651,Suso,24,https://cdn.sofifa.org/players/4/19/202651.png,Spain,https://cdn.sofifa.org/flags/45.png,83,86,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€29M,€94K,1968,Left,2,2,4,Medium/ High,Lean,Yes,RM,7,17-Aug-18,,2023,6'0,148lbs,74+2,74+2,74+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,80+2,75+2,75+2,75+2,80+2,63+2,61+2,61+2,61+2,63+2,59+2,50+2,50+2,50+2,59+2,81,77,43,80,58,85,78,75,77,83,85,86,83,82,78,78,63,55,50,73,48,50,81,81,59,71,45,43,25,13,16,15,8,14,€51.5M,,
246,https://en.wikipedia.org/wiki/Samu_Castillejo,210617,Samu Castillejo,23,https://cdn.sofifa.org/players/4/19/210617.png,Spain,https://cdn.sofifa.org/flags/45.png,82,89,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€26.5M,€84K,1750,Left,2,3,2,Medium/ High,Normal,No,LCB,13,11-Aug-15,,2022,6'2,172lbs,56+2,56+2,56+2,55+2,56+2,56+2,56+2,55+2,57+2,57+2,57+2,58+2,63+2,63+2,63+2,58+2,71+2,76+2,76+2,76+2,71+2,74+2,81+2,81+2,81+2,74+2,36,30,76,70,28,65,36,24,69,69,63,69,60,78,53,64,78,75,81,46,84,85,31,40,34,76,88,85,81,9,14,12,8,9,€50.4M,,
248,https://en.wikipedia.org/wiki/Alessio_Romagnoli,210413,A. Romagnoli,23,https://cdn.sofifa.org/players/4/19/210413.png,Italy,https://cdn.sofifa.org/flags/27.png,82,82,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€22M,€115K,2207,Right,3,3,4,High/ Medium,Lean,No,CM,5,1-Sep-14,,2020,5'11,165lbs,77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,80+3,78+3,77+3,77+3,77+3,78+3,76+3,72+3,72+3,72+3,76+3,82,70,70,84,78,83,78,78,80,85,75,77,77,82,77,84,69,84,66,86,68,72,78,82,68,82,74,72,68,10,14,7,15,14,€37.4M,41.87194,12.56738
284,https://en.wikipedia.org/wiki/Giacomo_Bonaventura,189125,G. Bonaventura,28,https://cdn.sofifa.org/players/4/19/189125.png,Italy,https://cdn.sofifa.org/flags/27.png,82,82,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€12.5M,€98K,2104,Right,3,4,3,Medium/ High,Normal,No,CDM,21,17-Jul-17,,2020,5'10,139lbs,66+3,66+3,66+3,72+3,71+3,71+3,71+3,72+3,75+3,75+3,75+3,74+3,78+3,78+3,78+3,74+3,77+3,80+3,80+3,80+3,77+3,76+3,75+3,75+3,75+3,76+3,74,50,54,86,78,80,71,76,82,84,65,65,76,80,78,77,62,75,65,75,83,82,50,80,72,80,80,78,74,14,12,7,12,7,€21.3M,41.87194,12.56738
313,https://en.wikipedia.org/wiki/Lucas_Biglia,158963,L. Biglia,32,https://cdn.sofifa.org/players/4/19/158963.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,86,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€17.5M,€73K,1647,Right,2,3,2,Medium/ High,Normal,No,CB,33,2-Aug-18,,2023,6'2,176lbs,54+2,54+2,54+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,55+2,57+2,57+2,57+2,55+2,68+2,71+2,71+2,71+2,68+2,71+2,79+2,79+2,79+2,71+2,34,36,82,63,51,62,20,24,58,63,65,69,58,77,59,38,76,67,79,20,76,82,34,32,30,74,85,84,80,14,9,6,9,5,€33.3M,-38.416096,-63.616673
432,https://en.wikipedia.org/wiki/Mattia_Caldara,220477,M. Caldara,24,https://cdn.sofifa.org/players/4/19/220477.png,Italy,https://cdn.sofifa.org/flags/27.png,80,85,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€17M,€85K,1928,Right,2,3,3,Medium/ Medium,Lean,Yes,LCM,14,,Chelsea,30-Jun-19,6'2,187lbs,63+2,63+2,63+2,66+2,67+2,67+2,67+2,66+2,69+2,69+2,69+2,69+2,74+2,74+2,74+2,69+2,74+2,78+2,78+2,78+2,74+2,75+2,78+2,78+2,78+2,75+2,55,37,71,78,36,76,51,37,75,77,67,69,64,74,57,72,76,83,80,50,87,80,60,73,45,68,71,84,82,11,15,11,14,10,,41.87194,12.56738
434,https://en.wikipedia.org/wiki/Ti%C3%A9mou%C3%A9_Bakayoko,219809,T. Bakayoko,23,https://cdn.sofifa.org/players/4/19/219809.png,France,https://cdn.sofifa.org/flags/18.png,80,84,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€19.5M,€89K,2085,Right,3,4,4,Medium/ Medium,Normal,Yes,CAM,10,3-Jul-17,,2021,5'10,168lbs,73+3,73+3,73+3,79+3,78+3,78+3,78+3,79+3,80+3,80+3,80+3,79+3,78+3,78+3,78+3,79+3,71+3,70+3,70+3,70+3,71+3,68+3,60+3,60+3,60+3,68+3,81,65,53,83,77,85,92,90,80,86,73,69,78,78,77,86,46,76,54,88,57,61,75,80,71,78,62,56,56,9,14,11,6,10,€34.6M,,
449,https://en.wikipedia.org/wiki/Hakan_%C3%87alhano%C4%9Flu,208128,H. Çalhanoğlu,24,https://cdn.sofifa.org/players/4/19/208128.png,Turkey,https://cdn.sofifa.org/flags/48.png,80,83,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€15.5M,€81K,2178,Left,3,3,4,Medium/ Medium,Normal,Yes,LB,13,1-Jul-17,,2021,5'11,170lbs,70+3,70+3,70+3,74+3,73+3,73+3,73+3,74+3,74+3,74+3,74+3,75+3,76+3,76+3,76+3,75+3,78+3,78+3,78+3,78+3,78+3,78+3,76+3,76+3,76+3,78+3,86,59,64,78,67,76,82,84,78,78,73,73,73,80,70,78,73,77,75,72,75,80,68,74,83,80,80,78,78,14,13,14,14,11,€27.5M,,
490,https://en.wikipedia.org/wiki/Ricardo_Rodr%C3%ADguez_(footballer),193352,R. Rodríguez,25,https://cdn.sofifa.org/players/4/19/193352.png,Switzerland,https://cdn.sofifa.org/flags/47.png,80,80,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€12.5M,€85K,1892,Right,3,3,3,Medium/ Medium,Normal,No,RCB,22,1-Jul-17,,2021,5'11,161lbs,60+3,60+3,60+3,62+3,61+3,61+3,61+3,62+3,63+3,63+3,63+3,63+3,67+3,67+3,67+3,63+3,72+3,75+3,75+3,75+3,72+3,74+3,79+3,79+3,79+3,74+3,55,40,76,69,36,65,53,45,67,67,69,71,73,76,68,57,83,68,76,53,76,84,50,64,57,76,84,84,80,5,11,12,6,12,€21.3M,,
510,https://en.wikipedia.org/wiki/Mateo_Musacchio,186547,M. Musacchio,27,https://cdn.sofifa.org/players/4/19/186547.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,88,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€19.5M,€24K,2149,Right,2,4,3,High/ High,Normal,No,CM,14,,Atalanta,30-Jun-19,6'0,168lbs,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,75+2,75+2,75+2,75+2,77+2,77+2,77+2,75+2,77+2,79+2,79+2,79+2,77+2,77+2,78+2,78+2,78+2,77+2,66,64,68,79,60,78,58,48,75,79,71,77,68,76,79,84,79,96,87,76,86,80,76,71,82,76,80,78,74,9,11,12,12,10,,-38.416096,-63.616673
562,https://en.wikipedia.org/wiki/Franck_Kessi%C3%A9,230938,F. Kessié,21,https://cdn.sofifa.org/players/4/19/230938.png,#NAME?,https://cdn.sofifa.org/flags/108.png,79,88,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€14.5M,€52K,1946,Right,1,3,3,Medium/ Medium,Normal,No,RB,2,1-Jul-15,,2022,5'9,154lbs,58+2,58+2,58+2,65+2,61+2,61+2,61+2,65+2,63+2,63+2,63+2,68+2,67+2,67+2,67+2,68+2,77+2,74+2,74+2,74+2,77+2,76+2,74+2,74+2,74+2,76+2,79,30,64,75,58,73,76,48,68,74,81,77,83,74,78,62,69,81,64,48,78,77,42,50,48,74,78,78,77,8,14,15,12,7,€27.6M,,
744,https://en.wikipedia.org/wiki/Davide_Calabria,228881,D. Calabria,21,https://cdn.sofifa.org/players/4/19/228881.png,Italy,https://cdn.sofifa.org/flags/27.png,78,80,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€12.5M,€76K,1992,Left,2,3,4,High/ High,Lean,No,LB,17,17-Aug-18,,2022,5'10,150lbs,68+2,68+2,68+2,75+2,72+2,72+2,72+2,75+2,74+2,74+2,74+2,76+2,73+2,73+2,73+2,76+2,75+2,71+2,71+2,71+2,75+2,72+2,64+2,64+2,64+2,72+2,78,60,43,78,49,77,61,60,74,78,86,90,85,72,77,74,65,93,60,66,72,64,68,68,49,76,64,64,68,10,12,10,9,8,€22.2M,41.87194,12.56738
790,https://en.wikipedia.org/wiki/Diego_Laxalt,213400,D. Laxalt,25,https://cdn.sofifa.org/players/4/19/213400.png,Uruguay,https://cdn.sofifa.org/flags/60.png,78,77,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€9M,€75K,2041,Left,2,3,4,Medium/ Medium,Normal,No,CM,16,2-Jul-15,,2019,5'10,165lbs,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,73+2,73+2,73+2,73+2,73+2,72+2,70+2,70+2,70+2,72+2,72,62,64,80,69,79,70,64,76,79,69,73,77,74,75,78,65,77,67,76,69,70,76,76,56,72,74,68,68,7,8,7,7,9,€15.3M,,
978,https://en.wikipedia.org/wiki/Andrea_Bertolacci,192073,A. Bertolacci,27,https://cdn.sofifa.org/players/4/19/192073.png,Italy,https://cdn.sofifa.org/flags/27.png,77,77,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€6M,€68K,1973,Right,2,2,3,High/ Medium,Lean,Yes,RB,20,1-Jul-09,,2019,5'11,161lbs,66+2,66+2,66+2,71+2,69+2,69+2,69+2,71+2,71+2,71+2,71+2,73+2,72+2,72+2,72+2,73+2,76+2,74+2,74+2,74+2,76+2,75+2,74+2,74+2,74+2,75+2,75,38,68,76,60,75,69,44,72,75,77,85,75,76,75,68,75,76,69,60,76,75,74,68,48,78,76,76,75,3,3,5,3,3,€10.2M,41.87194,12.56738
1038,https://en.wikipedia.org/wiki/Ignazio_Abate,168312,I. Abate,31,https://cdn.sofifa.org/players/4/19/168312.png,Italy,https://cdn.sofifa.org/flags/27.png,77,89,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€16M,€62K,1759,Right,1,3,3,High/ Medium,Normal,No,RS,63,1-Jul-15,,2023,6'0,172lbs,75+2,75+2,75+2,71+2,73+2,73+2,73+2,71+2,69+2,69+2,69+2,68+2,60+2,60+2,60+2,68+2,50+2,47+2,47+2,47+2,50+2,47+2,45+2,45+2,45+2,47+2,48,80,76,70,72,74,68,42,34,76,75,77,69,74,76,74,75,72,74,62,60,14,80,56,68,72,36,20,18,10,7,7,10,5,€30.4M,41.87194,12.56738
1070,https://en.wikipedia.org/wiki/Patrick_Cutrone,237715,P. Cutrone,20,https://cdn.sofifa.org/players/4/19/237715.png,Italy,https://cdn.sofifa.org/flags/27.png,77,83,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€11M,€61K,1866,Left,1,3,4,High/ Low,Lean,No,RM,77,7-Jul-18,,2021,5'7,152lbs,63+2,63+2,63+2,75+2,73+2,73+2,73+2,75+2,76+2,76+2,76+2,75+2,72+2,72+2,72+2,75+2,63+2,60+2,60+2,60+2,63+2,58+2,46+2,46+2,46+2,58+2,76,58,24,80,64,79,80,69,70,81,78,74,78,74,88,64,54,68,32,72,40,54,70,80,75,72,60,36,28,15,11,11,13,10,€20.9M,41.87194,12.56738
1239,https://en.wikipedia.org/wiki/Alen_Halilovi%C4%87,216349,A. Halilović,22,https://cdn.sofifa.org/players/4/19/216349.png,Croatia,https://cdn.sofifa.org/flags/10.png,76,76,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€8M,€76K,1958,Right,2,3,4,High/ Medium,Lean,Yes,LW,11,1-Jul-18,,2021,5'11,163lbs,75+2,75+2,75+2,76+2,76+2,76+2,76+2,76+2,75+2,75+2,75+2,75+2,69+2,69+2,69+2,75+2,60+2,59+2,59+2,59+2,60+2,57+2,54+2,54+2,54+2,57+2,74,72,74,76,75,78,72,61,62,79,77,75,78,77,67,76,71,77,68,72,72,30,78,72,78,76,68,30,26,11,6,8,12,6,€13.6M,,
1342,https://en.wikipedia.org/wiki/Fabio_Borini,186200,F. Borini,27,https://cdn.sofifa.org/players/4/19/186200.png,Italy,https://cdn.sofifa.org/flags/27.png,76,79,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€8.5M,€58K,1965,Right,2,2,3,High/ High,Lean,No,RM,12,7-Jul-17,,2022,6'0,168lbs,68+2,68+2,68+2,72+2,70+2,70+2,70+2,72+2,70+2,70+2,70+2,73+2,72+2,72+2,72+2,73+2,76+2,73+2,73+2,73+2,76+2,75+2,71+2,71+2,71+2,75+2,76,58,64,76,59,74,67,42,69,76,75,82,79,76,68,68,53,87,59,49,73,73,73,63,48,72,76,74,74,9,13,13,9,10,€15.1M,41.87194,12.56738
1775,"https://en.wikipedia.org/wiki/Andrea_Conti_(footballer,_born_1994)",223329,A. Conti,24,https://cdn.sofifa.org/players/4/19/223329.png,Italy,https://cdn.sofifa.org/flags/27.png,75,74,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€4.1M,€56K,1936,Left,2,4,3,Medium/ Medium,Lean,No,LB,23,2-Jul-18,,2021,6'1,172lbs,64+2,64+2,64+2,67+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,72+2,72+2,72+2,72+2,72+2,76,48,60,70,50,70,62,55,66,74,68,68,69,70,71,68,69,73,75,60,72,76,66,58,61,68,76,76,74,10,8,14,13,10,€6.9M,41.87194,12.56738
2460,https://en.wikipedia.org/wiki/Ivan_Strini%C4%87,201139,I. Strinić,30,https://cdn.sofifa.org/players/4/19/201139.png,Croatia,https://cdn.sofifa.org/flags/10.png,74,81,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€5M,€44K,1457,Right,1,3,2,Medium/ High,Lean,No,CB,56,28-Aug-13,,2020,6'2,174lbs,45+2,45+2,45+2,45+2,45+2,45+2,45+2,45+2,46+2,46+2,46+2,48+2,52+2,52+2,52+2,48+2,62+2,66+2,66+2,66+2,62+2,64+2,72+2,72+2,72+2,64+2,43,20,68,58,12,54,29,27,58,58,43,56,51,68,51,57,71,59,79,21,76,72,20,38,21,66,80,74,72,5,3,5,5,3,€9.5M,,
3079,https://en.wikipedia.org/wiki/Stefan_Simi%C4%87,219591,S. Simič,23,https://cdn.sofifa.org/players/4/19/219591.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,73,79,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€4.3M,€43K,1916,Right,1,4,3,Medium/ High,Normal,No,CM,4,6-Jul-15,,2019,5'7,143lbs,57+2,57+2,57+2,68+2,65+2,65+2,65+2,68+2,70+2,70+2,70+2,69+2,71+2,71+2,71+2,69+2,69+2,69+2,69+2,69+2,69+2,67+2,61+2,61+2,61+2,67+2,66,40,41,78,64,77,72,55,74,78,77,65,89,66,93,64,75,74,33,68,69,68,50,72,62,68,70,62,66,12,8,7,15,6,€8.2M,,
3500,https://en.wikipedia.org/wiki/Jos%C3%A9_Mauri,219998,J. Mauri,22,https://cdn.sofifa.org/players/4/19/219998.png,Italy,https://cdn.sofifa.org/flags/27.png,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.87194,12.56738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
